iter	Passed	Remaining
0	47	47308
1	47	23777
2	47	15924
3	48	11995
4	48	9637
5	48	8065
6	49	7038
7	50	6223
8	50	5554
9	50	5020
10	50	4582
11	51	4218
12	51	3909
13	51	3653
14	52	3425
15	52	3224
16	52	3047
17	52	2889
18	54	2803
19	54	2675
20	54	2558
21	55	2452
22	55	2356
23	55	2267
24	56	2186
25	56	2110
26	56	2041
27	56	1976
28	57	1915
29	57	1859
30	57	1806
31	58	1756
32	58	1709
33	58	1665
34	58	1624
35	59	1585
36	59	1548
37	59	1513
38	60	1480
39	60	1448
40	60	1419
41	60	1390
42	61	1363
43	61	1337
44	61	1312
45	62	1288
46	62	1265
47	62	1242
48	62	1221
49	63	1202
50	63	1182
51	63	1163
52	64	1145
53	64	1128
54	64	1112
55	65	1102
56	65	1086
57	66	1085
58	67	1071
59	67	1057
60	67	1044
61	68	1030
62	69	1040
63	70	1027
64	70	1016
65	70	1004
66	71	992
67	71	981
68	71	971
69	72	960
70	72	950
71	72	940
72	73	930
73	73	920
74	73	910
75	74	901
76	74	892
77	74	883
78	75	874
79	75	866
80	75	858
81	75	850
82	76	841
83	76	834
84	76	827
85	77	819
86	77	812
87	78	808
88	78	802
89	78	795
90	79	789
91	79	783
92	79	777
93	80	771
94	80	764
95	80	758
96	80	753
97	81	747
98	81	741
99	81	735
100	82	730
101	82	724
102	82	719
103	82	714
104	83	709
105	83	704
106	83	700
107	84	695
108	84	690
109	84	686
110	85	681
111	85	677
112	85	672
113	86	668
114	86	664
115	86	660
116	86	655
117	87	651
118	88	652
119	88	649
120	88	645
121	89	641
122	89	637
123	89	634
124	90	630
125	90	627
126	90	623
127	90	619
128	91	616
129	91	613
130	91	609
131	92	606
132	92	602
133	92	599
134	93	596
135	93	593
136	93	590
137	94	587
138	94	584
139	94	581
140	94	578
141	95	576
142	95	574
143	96	571
144	96	568
145	96	565
146	97	563
147	97	560
148	97	557
149	97	554
150	98	552
151	98	549
152	98	546
153	99	543
154	99	541
155	99	538
156	99	536
157	100	533
158	100	531
159	100	529
160	101	526
161	101	524
162	101	521
163	101	519
164	102	517
165	102	515
166	102	513
167	103	511
168	103	509
169	103	507
170	104	505
171	104	504
172	105	501
173	105	499
174	105	497
175	105	495
176	106	493
177	106	491
178	106	489
179	107	487
180	107	485
181	107	484
182	107	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	472
188	110	474
189	110	473
190	111	471
191	111	469
192	111	467
193	112	465
194	112	464
195	112	462
196	112	460
197	113	460
198	114	459
199	114	457
200	114	455
201	114	453
202	115	452
203	115	450
204	115	448
205	115	447
206	116	445
207	116	443
208	116	442
209	117	440
210	117	438
211	117	437
212	117	435
213	118	434
214	118	432
215	118	431
216	119	429
217	119	428
218	119	426
219	119	425
220	120	423
221	120	422
222	120	420
223	121	419
224	121	417
225	121	416
226	121	415
227	122	414
228	122	412
229	122	411
230	123	410
231	123	408
232	123	407
233	124	405
234	124	404
235	124	403
236	124	401
237	125	400
238	125	399
239	125	397
240	125	396
241	126	395
242	126	393
243	126	392
244	127	391
245	127	390
246	128	392
247	128	391
248	129	390
249	129	388
250	129	387
251	130	386
252	130	385
253	130	384
254	131	383
255	131	381
256	131	380
257	132	379
258	132	379
259	132	377
260	133	376
261	133	375
262	133	374
263	133	373
264	134	372
265	134	371
266	134	370
267	135	369
268	135	367
269	135	366
270	135	365
271	136	364
272	136	363
273	136	362
274	137	361
275	137	360
276	137	359
277	137	358
278	138	357
279	138	356
280	138	355
281	139	354
282	139	353
283	139	351
284	139	350
285	140	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	142	342
293	142	341
294	142	340
295	142	339
296	143	338
297	143	338
298	143	337
299	144	336
300	144	335
301	144	334
302	144	333
303	145	332
304	145	331
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	147	325
311	147	325
312	147	324
313	147	323
314	148	322
315	148	321
316	148	320
317	149	319
318	149	318
319	149	317
320	149	317
321	150	316
322	150	315
323	150	314
324	150	313
325	151	312
326	151	311
327	151	311
328	152	310
329	152	309
330	152	308
331	153	308
332	153	307
333	153	306
334	153	305
335	154	304
336	154	304
337	154	303
338	155	302
339	155	301
340	155	300
341	155	300
342	156	299
343	156	298
344	156	297
345	157	297
346	157	296
347	157	295
348	158	294
349	158	294
350	158	293
351	158	292
352	159	291
353	159	290
354	159	290
355	160	289
356	160	288
357	160	287
358	160	287
359	161	286
360	161	285
361	161	284
362	161	284
363	162	283
364	162	282
365	162	281
366	163	281
367	163	280
368	163	279
369	163	279
370	164	278
371	164	277
372	164	276
373	164	276
374	165	275
375	165	274
376	165	273
377	166	273
378	166	272
379	166	272
380	167	271
381	167	270
382	167	270
383	167	269
384	168	268
385	168	268
386	168	267
387	169	266
388	169	266
389	169	265
390	169	264
391	170	264
392	170	263
393	171	263
394	171	262
395	171	262
396	172	261
397	172	260
398	172	260
399	172	259
400	173	258
401	173	258
402	173	257
403	174	256
404	174	256
405	174	255
406	174	254
407	175	254
408	175	253
409	175	252
410	176	252
411	176	251
412	176	251
413	176	250
414	177	249
415	177	249
416	177	248
417	177	247
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	179	244
424	179	243
425	180	242
426	180	242
427	180	241
428	181	240
429	181	240
430	181	239
431	181	239
432	182	238
433	182	237
434	182	237
435	182	236
436	183	236
437	183	235
438	183	234
439	184	234
440	184	233
441	184	233
442	184	232
443	185	231
444	185	231
445	185	230
446	185	230
447	186	229
448	186	228
449	186	228
450	187	227
451	187	227
452	187	226
453	187	225
454	188	225
455	188	224
456	188	224
457	188	223
458	189	223
459	189	222
460	189	221
461	190	221
462	190	220
463	190	220
464	190	219
465	191	219
466	191	218
467	191	218
468	192	217
469	192	216
470	192	216
471	192	215
472	193	215
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	210
481	195	210
482	195	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	198	206
490	198	205
491	198	205
492	198	204
493	199	204
494	199	203
495	199	202
496	200	202
497	200	201
498	200	201
499	200	200
500	201	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	204	193
514	205	193
515	205	192
516	205	192
517	205	191
518	206	191
519	206	190
520	206	190
521	207	189
522	207	189
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	209	186
529	209	185
530	209	185
531	210	184
532	210	184
533	210	183
534	210	183
535	211	182
536	211	182
537	211	181
538	211	181
539	212	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	214	178
546	214	177
547	215	177
548	215	176
549	215	176
550	215	176
551	216	175
552	216	175
553	216	174
554	217	174
555	217	173
556	217	173
557	217	172
558	218	172
559	218	171
560	218	171
561	219	170
562	219	170
563	219	169
564	219	169
565	220	168
566	220	168
567	220	167
568	221	167
569	221	166
570	221	166
571	221	166
572	222	165
573	222	165
574	222	164
575	223	164
576	223	163
577	223	163
578	223	162
579	224	162
580	224	161
581	224	161
